prefix,vendor,assignment_type
8C1F64DA6,"Power Electronics Espana, S.L.",MA-S
8C1F64B9E,"Power Electronics Espana, S.L.",MA-S
8C1F64FE3,"Power Electronics Espana, S.L.",MA-S
70B3D5632,"Power Electronics Espana, S.L.",MA-S
70B3D556E,"Power Electronics Espana, S.L.",MA-S
8C1F64955,Talleres de Escoriaza SAU,MA-S
8C1F6436D,WAVEBAND TECHNOLOGIES PVT LIMITED,MA-S
8C1F645CA,Vitaltrace PTY LTD,MA-S
8C1F6482C,"Power Electronics Espana, S.L.",MA-S
70B3D5B56,"Power Electronics Espana, S.L.",MA-S
8C1F646C7,Pionierkraft GmbH,MA-S
8C1F64C7F,Brightwell Dosing ltd,MA-S
8C1F640DE,ACE TECH,MA-S
8C1F64FBC,Immersive Audio Technologies,MA-S
8C1F64084,KST technology,MA-S
8C1F64CC3,KRONOTECH SRL,MA-S
8C1F64847,SLAT,MA-S
8C1F64112,ISAC SRL,MA-S
8C1F6400E,HAMAYAN TECHNOLOGY,MA-S
8C1F64FC7,Azura Technology Co. Ltd.,MA-S
8C1F64C89,MB connect line GmbH,MA-S
8C1F64212,SVMS,MA-S
8C1F6461E,HEDIAN DIGITAL INTEGRATION TECHNOLOGY LTD.,MA-S
8C1F6413D,"Inaba Techno Evolution Co.,Ltd",MA-S
8C1F64CA8,Optiemus Electronics Limited,MA-S
8C1F640E1,"RIVERLOOP CO., LTD.",MA-S
8C1F64639,TRD Systems Pte Ltd,MA-S
8C1F64831,Audio Plus,MA-S
8C1F647BA,NATIXON Sp. z o.o.,MA-S
8C1F64D84,OES Inc.,MA-S
8C1F64ECD,Beijing BITMC Technology co.Ltd,MA-S
8C1F6476D,uHoo Pte. Ltd.,MA-S
8C1F64F8F,Dovideq Medical Systems BV,MA-S
8C1F642B2,Infosoft Digital Design and Services P L,MA-S
8C1F64BF9,Hitachi energy India ltd,MA-S
8C1F64990,Traxara Robotics,MA-S
8C1F64A4D,DEUTA-WERKE GmbH,MA-S
8C1F64130,Vigor Electric Corp.,MA-S
8C1F64570,ACD Elektronik GmbH,MA-S
8C1F64B89,Aineas,MA-S
8C1F64538,InstruVU,MA-S
8C1F64A98,"Jacobs Technology, Inc.",MA-S
8C1F644A9,Martec Marine S.p.a.,MA-S
8C1F64DE5,Gogo Business Aviation,MA-S
8C1F64B5A,"YUYAMA MFG Co.,Ltd",MA-S
70B3D5DA9,RCH SPA,MA-S
70B3D5410,Avant Technologies,MA-S
70B3D5097,Avant Technologies,MA-S
8C1F6450B,"Beijing Entian Technology Development Co., Ltd",MA-S
8C1F64CAE,Ophir Manufacturing Solutions Pte Ltd,MA-S
8C1F649E4,RMDS innovation inc.,MA-S
8C1F646B7,Alpha-Omega Technology GmbH & Co. KG,MA-S
8C1F64E2D,RADA Electronics Industries Ltd.,MA-S
8C1F647CE,"Shanghai smartlogic technology Co.,Ltd.",MA-S
8C1F64621,JTL Systems Ltd.,MA-S
70B3D5F22,Shengli Technologies,MA-S
8C1F64A89,Mitsubishi Electric India Pvt. Ltd.,MA-S
8C1F64694,Hubbell Power Systems,MA-S
8C1F64CD4,Shengli Technologies,MA-S
8C1F64C17,Metreg Technologies GmbH,MA-S
8C1F645A6,"Kinney Industries, Inc",MA-S
8C1F6462C,"Hangzhou EasyXR Advanced Technology Co., Ltd.",MA-S
8C1F64898,Copper Connections Ltd,MA-S
8C1F647E3,UNE SRL,MA-S
8C1F64440,MB connect line GmbH Fernwartungssysteme,MA-S
8C1F64937,H2Ok Innovations,MA-S
8C1F648E0,Reivax S/A Automação e Controle,MA-S
8C1F6406A,Intellisense Systems Inc.,MA-S
8C1F642DE,Polar Bear Design,MA-S
70B3D5C1D,"Kranze Technology Solutions, Inc.",MA-S
8C1F64107,"SCI Technology, Inc.",MA-S
8C1F64863,EngiNe srl,MA-S
8C1F64677,FREY S.J.,MA-S
8C1F6479F,Hiwin Mikrosystem Corp.,MA-S
8C1F64B6D,Andy-L Ltd,MA-S
8C1F64CA7,eumig industrie-TV GmbH.,MA-S
8C1F6467E,LDA Audiotech,MA-S
8C1F64F53,Beckman Coulter Inc,MA-S
8C1F64AE5,"Ltec Co.,Ltd",MA-S
8C1F64E4B,ALGAZIRA TELECOM SOLUTIONS,MA-S
8C1F6498C,PAN Business & Consulting (ANYOS],MA-S
8C1F641A0,Engage Technologies,MA-S
8C1F64BC1,"CominTech, LLC",MA-S
8C1F649A1,"Pacific Software Development Co., Ltd.",MA-S
8C1F64AD0,Elektrotechnik & Elektronik Oltmann GmbH,MA-S
8C1F64495,DAVE SRL,MA-S
70B3D5C0A,"Infosocket Co., Ltd.",MA-S
8C1F64E23,Chemito Infotech PVT LTD,MA-S
8C1F64ECC,Baldwin Jimek AB,MA-S
8C1F64E8F,"JieChuang HeYi(Beijing) Technology Co., Ltd.",MA-S
8C1F641AD,Nexxto Servicos Em Tecnologia da Informacao SA,MA-S
8C1F6414D,Vertesz Elektronika Kft.,MA-S
8C1F640BF,Aurora Communication Technologies Corp.,MA-S
8C1F642F0,"Switch Science, Inc.",MA-S
8C1F64D21,AMETEK CTS GMBH,MA-S
8C1F649E0,Druck Ltd.,MA-S
8C1F64A91,Infinitive Group Limited,MA-S
8C1F64D6C,Packetalk LLC,MA-S
8C1F6431B,joint analytical systems GmbH,MA-S
8C1F64DD4,"Midlands Technical Co., Ltd.",MA-S
8C1F64A81,3D perception AS,MA-S
8C1F642C7,CONTRALTO AUDIO SRL,MA-S
8C1F641CE,"Eiden Co.,Ltd.",MA-S
8C1F642B8,Veinland GmbH,MA-S
8C1F64423,Hiwin Mikrosystem Corp.,MA-S
8C1F6432B,"Shenyang Taihua Technology Co., Ltd.",MA-S
8C1F64907,Sicon srl,MA-S
8C1F64D42,"YUYAMA MFG Co.,Ltd",MA-S
8C1F64FD5,"THE WHY HOW DO COMPANY, Inc.",MA-S
8C1F64D51,"ZIGEN Lighting Solution co., ltd.",MA-S
8C1F648DF,Grossenbacher Systeme AG,MA-S
70B3D594B,RF Code,MA-S
8C1F6471B,Adasky Ltd.,MA-S
8C1F64636,Europe Trade,MA-S
8C1F641F5,NanoThings Inc.,MA-S
8C1F64211,"Bipom Electronics, Inc.",MA-S
8C1F64F5F,TR7 Siber Savunma A.S.,MA-S
8C1F64300,Abbott Diagnostics Technologies AS,MA-S
8C1F64978,Planet Innovation Products Inc.,MA-S
70B3D54BC,TIAMA,MA-S
70B3D58BA,TIAMA,MA-S
8C1F6463B,TIAMA,MA-S
8C1F640B7,TIAMA,MA-S
8C1F6406B,Sanwa Supply Inc.,MA-S
8C1F64475,Alpine Quantum Technologies GmbH,MA-S
8C1F647DC,"LINEAGE POWER PVT LTD.,",MA-S
8C1F64CC5,Potter Electric Signal Co. LLC,MA-S
8C1F64D98,Gnewtek photoelectric technology Ltd.,MA-S
8C1F6420E,Alpha Bridge Technologies Private Limited,MA-S
8C1F64ECF,Monnit Corporation,MA-S
8C1F6462D,Embeddded Plus Plus,MA-S
8C1F649FB,CI SYSTEMS ISRAEL LTD,MA-S
8C1F64A5E,XTIA Ltd.,MA-S
8C1F64FDC,Nuphoton Technologies,MA-S
8C1F64C59,Tunstall A/S,MA-S
8C1F645FA,PolCam Systems Sp. z o.o.,MA-S
8C1F64B65,HomyHub SL,MA-S
8C1F64691,Wende Tan,MA-S
8C1F643B7,AI-BLOX,MA-S
8C1F649C0,Header Rhyme,MA-S
8C1F64EE6,LYNKX,MA-S
8C1F64406,ANDA TELECOM PVT LTD,MA-S
8C1F642BB,Chakra Technology Ltd,MA-S
8C1F642FC,"Unimar, Inc.",MA-S
8C1F64A9E,Optimum Instruments Inc.,MA-S
8C1F64C61,"Beijing Ceresdate Technology Co.,LTD",MA-S
8C1F64610,"Beijing Zhongzhi Huida Technology Co., Ltd",MA-S
8C1F6486A,VisionTools Bildanalyse Systeme GmbH,MA-S
8C1F64931,Noptel Oy,MA-S
8C1F64024,"Shin Nihon Denshi Co., Ltd.",MA-S
70B3D5A31,Wise Ally Holdings Limited,MA-S
8C1F64FCC,GREDMANN TAIWAN LTD.,MA-S
8C1F64011,DEUTA-WERKE GmbH,MA-S
8C1F64145,Spectrum FiftyNine BV,MA-S
8C1F64573,Ingenious Technology LLC,MA-S
8C1F642E2,Mark Roberts Motion Control,MA-S
8C1F644FB,MESA TECHNOLOGIES LLC,MA-S
8C1F64867,Forever Engineering Systems Pvt. Ltd.,MA-S
8C1F647A4,Hirotech inc.,MA-S
8C1F64BF3,Alphatek AS,MA-S
8C1F64502,Samwell International Inc,MA-S
8C1F64C91,Soehnle Industrial Solutions GmbH,MA-S
70B3D530E,Ecolonum Inc.,MA-S
8C1F64F2D,HUERNER Schweisstechnik GmbH,MA-S
8C1F6402F,SOLIDpower SpA,MA-S
8C1F64F22,Voyage Audio LLC,MA-S
8C1F6491D,enlighten,MA-S
8C1F64731,"ehoosys Co.,LTD.",MA-S
8C1F64699,FIDICA GmbH & Co. KG,MA-S
8C1F64F70,Vision Systems Safety Tech,MA-S
8C1F64CB2,Dyncir Soluções Tecnológicas Ltda,MA-S
8C1F64BCB,A&T Corporation,MA-S
8C1F64CEB,EUREKA FOR SMART PROPERTIES CO. W.L.L,MA-S
8C1F64314,Cedel BV,MA-S
8C1F643B6,TEX COMPUTER SRL,MA-S
8C1F64EF8,Northwest Central Indiana Community Partnerships Inc dba Wabash Heartland Innovation Network (WHIN),MA-S
8C1F6434D,"biosilver .co.,ltd",MA-S
8C1F646A0,Avionica,MA-S
8C1F6466F,Elix Systems SA,MA-S
8C1F64309,MECT SRL,MA-S
8C1F64698,Arcus-EDS GmbH,MA-S
8C1F646EC,"Bit Trade One, Ltd.",MA-S
8C1F648F4,Loadrite (Auckland) Limited,MA-S
8C1F6428D,AVA Monitoring AB,MA-S
8C1F646BB,Season Electronics Ltd,MA-S
8C1F64D5E,Integer.pl S.A.,MA-S
8C1F6458C,Ear Micro LLC,MA-S
8C1F640EF,DAVE SRL,MA-S
8C1F64B13,Abode Systems Inc,MA-S
8C1F6498F,Breas Medical AB,MA-S
8C1F64662,"Suzhou Leamore Optronics Co., Ltd.",MA-S
8C1F647BC,GO development GmbH,MA-S
8C1F64544,Tinkerbee Innovations Private Limited,MA-S
8C1F641F0,AVCOMM Technologies Inc,MA-S
8C1F64080,Twinleaf LLC,MA-S
8C1F64CC6,Genius Vision Digital Private Limited,MA-S
8C1F643E3,FMTec GmbH - Future Management Technologies,MA-S
8C1F643D4,e.p.g. Elettronica s.r.l.,MA-S
8C1F643C5,Stratis IOT,MA-S
8C1F64B7C,"EVERNET CO,.LTD TAIWAN",MA-S
8C1F64017,Farmote Limited,MA-S
8C1F64EEA,AMESS,MA-S
8C1F64AB4,"Beijing Zhongchen Microelectronics Co.,Ltd",MA-S
8C1F64E7C,"Ashinne Technology Co., Ltd",MA-S
8C1F64AC5,Forever Engineering Systems Pvt. Ltd.,MA-S
8C1F6454F,"Toolplanet Co., Ltd.",MA-S
8C1F6452D,"Cubic ITS, Inc. dba GRIDSMART Technologies",MA-S
8C1F64FA2,"AZD Praha s.r.o., ZOZ Olomouc",MA-S
8C1F64702,AIDirections,MA-S
8C1F64943,Autark GmbH,MA-S
8C1F64E30,VMukti Solutions Private Limited,MA-S
8C1F647A7,Timegate Instruments Ltd.,MA-S
70B3D5781,Project Service S.a.s.,MA-S
8C1F643F4,ACTELSER S.L.,MA-S
8C1F64A4C,Flextronics International Kft,MA-S
8C1F6435C,Opgal Optronic Industries ltd,MA-S
8C1F64D02,Flextronics International Kft,MA-S
8C1F64115,Neuralog LP,MA-S
8C1F648D9,Pietro Fiorentini Spa,MA-S
8C1F64C24,Alifax S.r.l.,MA-S
8C1F6440C,Sichuan Aiyijan Technology Company Ltd.,MA-S
8C1F64194,TIFLEX,MA-S
8C1F6405F,ESCAD AUTOMATION GmbH,MA-S
8C1F64BD3,IO Master Technology,MA-S
8C1F64A44,Rapidev Pvt Ltd,MA-S
8C1F64581,"SpectraDynamics, Inc.",MA-S
8C1F64E02,ITS Teknik A/S,MA-S
8C1F64ED9,NETGEN HITECH SOLUTIONS LLP,MA-S
8C1F644AC,Vekto,MA-S
8C1F6450A,BELLCO TRADING COMPANY (PVT) LTD,MA-S
8C1F649D4,Wolfspyre Labs,MA-S
8C1F646CF,Italora,MA-S
8C1F645AE,"Suzhou Motorcomm Electronic Technology Co., Ltd",MA-S
8C1F64707,OAS AG,MA-S
8C1F64B8D,"Tongye lnnovation Science and Technology (Shenzhen) Co.,Ltd",MA-S
8C1F64D0E,Labforge Inc.,MA-S
8C1F64F72,Contrader,MA-S
8C1F6438D,Wilson Electronics,MA-S
8C1F64D40,Breas Medical AB,MA-S
8C1F64417,Fracarro srl,MA-S
70B3D5EB0,Nautel LTD,MA-S
8C1F64848,Jena-Optronik GmbH,MA-S
8C1F6477E,"Institute of geophysics, China earthquake administration",MA-S
70B3D5A1D,Fluid Components Intl,MA-S
8C1F648D4,Recab Sweden AB,MA-S
8C1F64256,Landinger,MA-S
8C1F64DCA,Porsche engineering,MA-S
70B3D585C,Tabology,MA-S
8C1F647B8,TimeMachines Inc.,MA-S
8C1F64A07,GJD Manufacturing,MA-S
8C1F64780,"HME Co.,ltd",MA-S
8C1F64328,"Com Video Security Systems Co., Ltd.",MA-S
8C1F64CD8,Gogo Business Aviation,MA-S
8C1F64BEE,Sirius LLC,MA-S
8C1F64971,INFRASAFE/ ADVANTOR SYSTEMS,MA-S
8C1F64CDF,Canway Technology GmbH,MA-S
8C1F64512,Blik Sensing B.V.,MA-S
8C1F64CA1,Pantherun Technologies Pvt Ltd,MA-S
8C1F641E1,VAF Co.,MA-S
8C1F64973,Dorsett Technologies Inc,MA-S
8C1F649F2,MB connect line GmbH Fernwartungssysteme,MA-S
8C1F649F0,"ePlant, Inc.",MA-S
8C1F64FBD,"SAN-AI Electronic Industries Co.,Ltd.",MA-S
8C1F641D1,AS Strömungstechnik GmbH,MA-S
8C1F646EA,KMtronic ltd,MA-S
8C1F640F9,ikan International LLC,MA-S
8C1F64E98,Luxshare Electronic Technology (Kunshan) LTD,MA-S
8C1F64D78,"Hunan Oushi Electronic Technology Co.,Ltd",MA-S
8C1F64923,MB connect line GmbH Fernwartungssysteme,MA-S
8C1F64E73,GTR Industries,MA-S
8C1F64534,SURYA ELECTRONICS,MA-S
8C1F64AD2,"YUYAMA MFG Co.,Ltd",MA-S
8C1F6407E,FLOYD inc.,MA-S
8C1F64CA6,"ReliaSpeak Information Technology Co., Ltd.",MA-S
8C1F6430A,XCOM Labs,MA-S
8C1F648E2,ALPHA Corporation,MA-S
8C1F648D1,Orlaco Products B.V.,MA-S
8C1F64B0C,Barkodes Bilgisayar Sistemleri Bilgi Iletisim ve Y,MA-S
8C1F64C50,Spacee,MA-S
8C1F645D3,Eloy Water,MA-S
8C1F64242,GIORDANO CONTROLS SPA,MA-S
8C1F6453D,NEXCONTECH,MA-S
8C1F64D54,Grupo Epelsa S.L.,MA-S
8C1F64E43,Daedalean AG,MA-S
8C1F643B5,SVMS,MA-S
8C1F64445,Figment Design Laboratories,MA-S
8C1F64F86,"INFOSTECH Co., Ltd.",MA-S
8C1F64AB5,JUSTMORPH PTE. LTD.,MA-S
8C1F64AA4,HEINEN ELEKTRONIK GmbH,MA-S
8C1F644FA,Sanskruti,MA-S
8C1F647C8,Jacquet Dechaume,MA-S
8C1F64304,Jemac Sweden AB,MA-S
8C1F649C1,RealWear,MA-S
8C1F64AED,MB connect line GmbH Fernwartungssysteme,MA-S
8C1F64801,"Zhejiang Laolan Information Technology Co., Ltd",MA-S
8C1F64204,castcore,MA-S
8C1F6429F,NAGTECH LLC,MA-S
8C1F64947,"LLC ""TC ""Vympel""",MA-S
8C1F64C03,Abiman Engineering,MA-S
8C1F64438,Integer.pl S.A.,MA-S
8C1F64CF1,"ROBOfiber, Inc.",MA-S
8C1F6419C,Aton srl,MA-S
8C1F64AAB,"BlueSword Intelligent Technology Co., Ltd.",MA-S
8C1F64991,DB Systel GmbH,MA-S
8C1F64C41,Katronic AG & Co. KG,MA-S
8C1F643A4,QLM Technology Ltd,MA-S
70B3D5AC2,"Wisebox.,Co.Ltd",MA-S
70B3D5BF7,Fischer Connectors,MA-S
70B3D5A8F,VK Integrated Systems,MA-S
70B3D5E03,MBJ,MA-S
70B3D581F,CAR-connect GmbH,MA-S
70B3D5271,Code Blue Corporation,MA-S
70B3D5975,Coester Automação Ltda,MA-S
70B3D5CE6,Dynim Oy,MA-S
70B3D5198,"Beijing Muniulinghang Technology Co., Ltd",MA-S
70B3D50AA,Wanco Inc,MA-S
70B3D5F74,TESSA AGRITECH SRL,MA-S
70B3D538E,"China Telecom Fufu Information Technology CO.,LTD",MA-S
70B3D5720,Jeio Tech,MA-S
70B3D5965,"LINEAGE POWER PVT LTD.,",MA-S
70B3D52E4,Schneider Electric Motion USA,MA-S
70B3D5E19,BAB TECHNOLOGIE GmbH,MA-S
70B3D550B,Nordson Corporation,MA-S
70B3D5928,Done Design Inc,MA-S
70B3D5812,"TESCAN Brno, s.r.o.",MA-S
70B3D53DC,XIA LLC,MA-S
70B3D5B79,Dadacon GmbH,MA-S
70B3D5DEB,DORLET SAU,MA-S
70B3D5F1B,IndiNatus (IndiNatus India Private Limited),MA-S
70B3D56B4,Nudron IoT Solutions LLP,MA-S
70B3D5419,Prodata Mobility Brasil SA,MA-S
70B3D5FE1,"Shenzhen Zhiting Technology Co.,Ltd",MA-S
70B3D5CC0,Avionica,MA-S
70B3D5FE0,Blueprint Lab,MA-S
70B3D55B7,on-systems limited,MA-S
70B3D5725,Swiss Timing LTD,MA-S
70B3D5004,LEIDOS,MA-S
70B3D5915,"DHK Storage, LLC",MA-S
70B3D54FB,MAS Elettronica sas di Mascetti Sandro e C.,MA-S
70B3D572B,Medipense Inc.,MA-S
70B3D5B4C,AmericanPharma Technologies,MA-S
70B3D57CC,"MITSUBISHI HEAVY INDUSTRIES THERMAL SYSTEMS, LTD.",MA-S
70B3D5F31,The-Box Development,MA-S
70B3D5946,"GREATWALL Infotech Co., Ltd.",MA-S
70B3D5998,Kita Kirmizi Takim Bilgi Guvenligi Danismanlik ve Egitim A.S.,MA-S
70B3D5AD7,Octopus IoT srl,MA-S
70B3D58D2,"WIZAPPLY CO.,LTD",MA-S
70B3D5737,SD Biosensor,MA-S
70B3D582F,SIANA Systems,MA-S
70B3D5B0D,ALFI,MA-S
70B3D5311,Günther Spelsberg GmbH + Co. KG,MA-S
70B3D5E66,Eneon sp. z o.o.,MA-S
70B3D5EC2,Lightside Instruments AS,MA-S
70B3D5B42,Samwell International Inc,MA-S
70B3D559E,i2-electronics,MA-S
70B3D5065,EXATEL,MA-S
70B3D5C13,"Guangzhou Xianhe Technology Engineering Co., Ltd",MA-S
70B3D5290,GETT Geraetetechnik GmbH,MA-S
70B3D5CEE,ACRIOS Systems s.r.o.,MA-S
70B3D5AFC,BAE Systems,MA-S
70B3D5A65,CREATIVE,MA-S
70B3D5C47,ABB,MA-S
70B3D5FAC,"Integrated Protein Technologies, Inc.",MA-S
70B3D56E2,E-Controls,MA-S
70B3D58B5,xTom GmbH,MA-S
70B3D55D7,Clockwork Dog,MA-S
70B3D535B,Nuance Hearing Ltd.,MA-S
70B3D5E68,"Transit Solutions, LLC.",MA-S
70B3D5E65,BIRTECH TECHNOLOGY,MA-S
70B3D5D82,"SUN ELECTRONICS CO.,LTD.",MA-S
70B3D509C,Cardinal Kinetic,MA-S
70B3D558B,Williams Sound LLC,MA-S
70B3D58D4,"Guangdong Transtek Medical Electronics Co., Ltd.",MA-S
70B3D56C8,Sicon srl,MA-S
70B3D5E44,BrainboxAI Inc,MA-S
70B3D5859,HAN CHANG,MA-S
70B3D5B69,Daatrics LTD,MA-S
70B3D583D,Gentec,MA-S
70B3D51A2,Xirgo Technologies LLC,MA-S
70B3D5DDE,Abbott Diagnostics Technologies AS,MA-S
70B3D5B22,"YUYAMA MFG Co.,Ltd",MA-S
70B3D51BA,"Guan Show Technologe Co., Ltd.",MA-S
70B3D5B1C,Serveron / Qualitrol,MA-S
70B3D5E6B,"Shenzhen Shi Fang Communication Technology Co., Ltd",MA-S
70B3D5769,Barber Creations LLC,MA-S
70B3D53EE,Laser Imagineering Vertriebs GmbH,MA-S
70B3D56A7,Partilink Inc.,MA-S
70B3D571C,Konzept Informationssysteme GmbH,MA-S
70B3D5F02,ABECO Industrie Computer GmbH,MA-S
70B3D5DB3,Klaxoon,MA-S
70B3D5FE5,Malin Space Science System,MA-S
70B3D57D3,OLEDCOMM,MA-S
70B3D5905,Wexiodisk AB,MA-S
70B3D55CB,ECoCoMS Ltd.,MA-S
70B3D5D18,MetCom Solutions GmbH,MA-S
70B3D5D53,"BeiLi eTek (Zhangjiagang) Co., Ltd.",MA-S
70B3D53CD,BRS Sistemas Eletrônicos,MA-S
70B3D52CB,Yongtong tech,MA-S
70B3D5E64,"HONG JIANG ELECTRONICS CO., LTD.",MA-S
70B3D5AE4,Nuance Hearing Ltd.,MA-S
70B3D55FD,Windar Photonics,MA-S
70B3D5D35,King-On Technology Ltd.,MA-S
70B3D5EAF,Sicon srl,MA-S
70B3D5C02,Garmo Instruments S.L.,MA-S
70B3D5F4A,LACS SRL,MA-S
70B3D536B,Huz Electronics Ltd,MA-S
70B3D5110,"Orion Power Systems, Inc.",MA-S
70B3D543C,Scenario Automation,MA-S
70B3D5468,"Shanghai Junqian Sensing Technology Co., LTD",MA-S
70B3D51C1,Sphere of economical technologies Ltd,MA-S
70B3D5E51,NooliTIC,MA-S
70B3D566F,Simplified MFG,MA-S
70B3D56DC,DEUTA-WERKE GmbH,MA-S
70B3D566C,KRISTECH Krzysztof Kajstura,MA-S
70B3D51B2,Cavagna Group Spa,MA-S
70B3D532B,RTA srl,MA-S
70B3D53AC,RF-Tuote Oy,MA-S
70B3D5C5E,Frog Cellsat Limited,MA-S
70B3D5D88,Nidec asi spa,MA-S
70B3D5E7F,"Sankyo Intec Co,ltd",MA-S
70B3D53B1,Global Power Products,MA-S
70B3D5F66,"Seznam.cz, a.s., CZ26168685",MA-S
70B3D55D9,"Evident Scientific, Inc.",MA-S
70B3D5EB6,EnergizeEV,MA-S
70B3D57FC,Surion (Pty) Ltd,MA-S
70B3D5CBB,Postmark Incorporated,MA-S
70B3D58E7,REO AG,MA-S
70B3D54B5,"Toolplanet Co., Ltd.",MA-S
70B3D553F,Abbott Diagnostics Technologies AS,MA-S
70B3D595D,GIORDANO CONTROLS SPA,MA-S
70B3D5801,Glory Technology Service Inc.,MA-S
70B3D53D6,Ariston Thermo s.p.a.,MA-S
70B3D5F28,"Yi An Electronics Co., Ltd",MA-S
70B3D5047,"OOO ""ORION-R""",MA-S
70B3D5639,DORLET SAU,MA-S
70B3D5130,MG s.r.l.,MA-S
70B3D53FC,"TangRen C&S CO., Ltd",MA-S
70B3D50F4,Visual Robotics,MA-S
70B3D5FA8,Munters,MA-S
70B3D51EC,"Cherry Labs, Inc.",MA-S
70B3D5FFB,"QUERCUS TECHNOLOGIES, S.L.",MA-S
70B3D5EA5,LOTES TM OOO,MA-S
70B3D56C2,TEX COMPUTER SRL,MA-S
70B3D5385,"Kamacho Scale Co., Ltd.",MA-S
70B3D544D,Vessel Technology Ltd,MA-S
70B3D5B36,Cetitec GmbH,MA-S
70B3D5038,"DONG IL VISION Co., Ltd.",MA-S
70B3D5109,DiTEST Fahrzeugdiagnose GmbH,MA-S
70B3D51BF,DEUTA-WERKE GmbH,MA-S
70B3D518F,Newtec A/S,MA-S
70B3D5A7F,AUDIO VISUAL DIGITAL SYSTEMS,MA-S
70B3D5F80,"Guan Show Technologe Co., Ltd.",MA-S
70B3D5A60,Pneumax S.p.A.,MA-S
001BC5029,2 FRANCE MARINE,MA-S
70B3D54FD,ENLESS WIRELESS,MA-S
70B3D586A,Stealth Communications,MA-S
70B3D567F,"IAAN Co., Ltd",MA-S
70B3D57C6,"Utrend Technology (Shanghai) Co., Ltd",MA-S
70B3D5B5D,"SHANDHAI LANDLEAF ARCHITECTURE TECHNOLOGY CO.,LTD",MA-S
70B3D52B5,Dosepack India LLP,MA-S
70B3D5281,ITG.CO.LTD,MA-S
70B3D55BB,Olympus NDT Canada,MA-S
70B3D562C,"OOO ""NTC Rotek""",MA-S
70B3D5310,Conserv Solutions,MA-S
70B3D503E,"Guan Show Technologe Co., Ltd.",MA-S
70B3D5C44,Franz Kessler GmbH,MA-S
70B3D597B,WIKA Alexander Wiegand SE & Co. KG,MA-S
70B3D5F97,Typhon Treatment Systems Ltd,MA-S
70B3D5FA9,"CorDes, LLC",MA-S
70B3D58BC,GSI GeoSolutions International Ltd,MA-S
70B3D5606,"OOO Research and Production Center ""Computer Technologies""",MA-S
70B3D55EB,Loma Systems s.r.o.,MA-S
70B3D5321,Yite technology,MA-S
70B3D5EB8,Emporia Renewable Energy Corp,MA-S
70B3D567E,Season Electronics Ltd,MA-S
70B3D5422,SUS Corporation,MA-S
70B3D556D,Pro-Digital Projetos Eletronicos Ltda,MA-S
70B3D5757,GABO,MA-S
70B3D55AD,Profotech,MA-S
70B3D5143,A & T Technologies,MA-S
70B3D5A80,EVCO SPA,MA-S
70B3D5CB0,Ossiaco,MA-S
70B3D5519,MB connect line GmbH Fernwartungssysteme,MA-S
70B3D5DAF,INNOVATIVE CONCEPTS AND DESIGN LLC,MA-S
70B3D5CF7,GENTEC ELECTRO-OPTICS,MA-S
70B3D5568,Small Data Garden Oy,MA-S
70B3D54FF,"Shanghai AiGentoo Information Technology Co.,Ltd.",MA-S
70B3D54BF,Exsom Computers LLC,MA-S
70B3D54E8,Copious Imaging LLC,MA-S
70B3D5EC4,hmt telematik GmbH,MA-S
70B3D5A52,APEX Stabilizations GmbH,MA-S
70B3D5F0F,Kyoto Denkiki,MA-S
70B3D5815,"Waco Giken Co.,  Ltd.",MA-S
70B3D5067,NEOPATH INTEGRATED SYSTEMS LTDA,MA-S
70B3D51F0,Harmonic Design GmbH,MA-S
70B3D58CC,Piranha EMS Inc.,MA-S
70B3D5D16,Monnit Corporation,MA-S
70B3D5F82,Preston Industries dba PolyScience,MA-S
70B3D5299,KMtronic ltd,MA-S
70B3D53EB,Grossenbacher Systeme AG,MA-S
70B3D5824,"Songwoo Information & Technology Co., Ltd",MA-S
70B3D5292,Boston Dynamics,MA-S
70B3D55F8,Forcite Helmet Systems Pty Ltd,MA-S
70B3D5E8D,Natav Services Ltd.,MA-S
70B3D5D23,COTT Electronics,MA-S
70B3D5F94,MB connect line GmbH Fernwartungssysteme,MA-S
70B3D526D,Sorion Electronics ltd,MA-S
70B3D5A49,Unipower AB,MA-S
70B3D5514,Intelligent Security Systems (ISS),MA-S
70B3D55E8,VITEC,MA-S
70B3D505E,VITEC,MA-S
70B3D5957,EA Elektroautomatik GmbH & Co. KG,MA-S
70B3D5409,"Beijing Yutian Technology Co., Ltd.",MA-S
70B3D5931,"MARINE INSTRUMENTS, S.A.",MA-S
70B3D50F6,KSE GmbH,MA-S
70B3D5449,Edgeware AB,MA-S
70B3D56D3,DEUTA-WERKE GmbH,MA-S
70B3D5701,COMPAR Computer GmbH,MA-S
70B3D591D,Cubitech,MA-S
70B3D572A,MRC Systems GmbH,MA-S
70B3D5463,"WARECUBE,INC",MA-S
70B3D5102,Oxford Monitoring Solutions Ltd,MA-S
70B3D5DF4,Heim- & Bürokommunikation Ilmert e.K.,MA-S
70B3D58BF,Hangzhou Leaper Technology Co. Ltd.,MA-S
70B3D5DC3,Fath Mechatronics,MA-S
70B3D53CB,GeoSpectrum Technologies Inc,MA-S
70B3D5571,Echogear,MA-S
70B3D5E54,Beijing PanGu Company,MA-S
70B3D52C0,Sensative AB,MA-S
70B3D524C,"Astronomical Research Cameras, Inc.",MA-S
70B3D53EA,DAVE SRL,MA-S
