consulta,horario_pc,horario_dvr,canal,resolvido,gravacao_encontrada,ultima_gravacao,atraso_segundos,has_more
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,1,True,True,2026-09-18T08:42:05Z,143.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,2,True,True,2026-09-18T08:42:09Z,139.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,3,True,True,2026-09-18T08:42:12Z,136.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,4,True,True,2026-09-18T08:42:16Z,132.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,5,True,True,2026-09-18T08:44:28Z,0.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,6,True,True,2026-09-18T08:44:27Z,1.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,7,True,True,2026-09-18T08:44:27Z,1.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,8,True,True,2026-09-18T08:44:28Z,0.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,9,True,True,2026-09-18T08:44:28Z,0.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,10,True,True,2026-09-18T08:44:28Z,0.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,11,True,True,2026-09-18T08:44:27Z,1.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,12,True,True,2026-09-18T08:44:28Z,0.0,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,13,True,False,,,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,14,True,False,,,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,15,True,False,,,False
1,2026-09-18T08:44:35,2026-09-18T08:44:28-03:00,16,True,False,,,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,1,True,True,2026-09-18T08:44:50Z,0.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,2,True,True,2026-09-18T08:44:28Z,22.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,3,True,True,2026-09-18T08:44:29Z,21.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,4,True,True,2026-09-18T08:44:29Z,21.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,5,True,True,2026-09-18T08:44:28Z,22.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,6,True,True,2026-09-18T08:44:50Z,0.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,7,True,True,2026-09-18T08:44:50Z,0.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,8,True,True,2026-09-18T08:44:29Z,21.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,9,True,True,2026-09-18T08:44:29Z,21.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,10,True,True,2026-09-18T08:44:50Z,0.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,11,True,True,2026-09-18T08:44:50Z,0.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,12,True,True,2026-09-18T08:44:29Z,21.0,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,13,True,False,,,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,14,True,False,,,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,15,True,False,,,False
2,2026-09-18T08:44:57,2026-09-18T08:44:50-03:00,16,True,False,,,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,1,True,True,2026-09-18T08:44:57Z,15.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,2,True,True,2026-09-18T08:45:12Z,0.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,3,True,True,2026-09-18T08:45:12Z,0.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,4,True,True,2026-09-18T08:44:50Z,22.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,5,True,True,2026-09-18T08:44:50Z,22.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,6,True,True,2026-09-18T08:45:12Z,0.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,7,True,True,2026-09-18T08:45:12Z,0.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,8,True,True,2026-09-18T08:44:51Z,21.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,9,True,True,2026-09-18T08:44:50Z,22.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,10,True,True,2026-09-18T08:44:51Z,21.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,11,True,True,2026-09-18T08:45:12Z,0.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,12,True,True,2026-09-18T08:44:51Z,21.0,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,13,True,False,,,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,14,True,False,,,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,15,True,False,,,False
3,2026-09-18T08:45:17,2026-09-18T08:45:12-03:00,16,True,False,,,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,1,True,True,2026-09-18T08:44:57Z,36.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,2,True,True,2026-09-18T08:45:12Z,21.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,3,True,True,2026-09-18T08:45:12Z,21.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,4,True,True,2026-09-18T08:45:33Z,0.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,5,True,True,2026-09-18T08:45:11Z,22.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,6,True,True,2026-09-18T08:45:12Z,21.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,7,True,True,2026-09-18T08:45:12Z,21.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,8,True,True,2026-09-18T08:45:12Z,21.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,9,True,True,2026-09-18T08:45:12Z,21.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,10,True,True,2026-09-18T08:45:12Z,21.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,11,True,True,2026-09-18T08:45:33Z,0.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,12,True,True,2026-09-18T08:45:12Z,21.0,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,13,True,False,,,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,14,True,False,,,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,15,True,False,,,False
4,2026-09-18T08:45:38,2026-09-18T08:45:33-03:00,16,True,False,,,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,1,True,True,2026-09-18T08:44:57Z,57.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,2,True,True,2026-09-18T08:45:33Z,21.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,3,True,True,2026-09-18T08:45:33Z,21.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,4,True,True,2026-09-18T08:45:33Z,21.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,5,True,True,2026-09-18T08:45:32Z,22.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,6,True,True,2026-09-18T08:45:32Z,22.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,7,True,True,2026-09-18T08:45:33Z,21.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,8,True,True,2026-09-18T08:45:54Z,0.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,9,True,True,2026-09-18T08:45:32Z,22.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,10,True,True,2026-09-18T08:45:33Z,21.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,11,True,True,2026-09-18T08:45:54Z,0.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,12,True,True,2026-09-18T08:45:33Z,21.0,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,13,True,False,,,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,14,True,False,,,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,15,True,False,,,False
5,2026-09-18T08:46:03,2026-09-18T08:45:54-03:00,16,True,False,,,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,1,True,True,2026-09-18T08:44:57Z,82.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,2,True,True,2026-09-18T08:45:54Z,25.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,3,True,True,2026-09-18T08:45:57Z,22.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,4,True,True,2026-09-18T08:45:57Z,22.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,5,True,True,2026-09-18T08:45:57Z,22.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,6,True,True,2026-09-18T08:46:18Z,1.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,7,True,True,2026-09-18T08:45:57Z,22.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,8,True,True,2026-09-18T08:45:58Z,21.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,9,True,True,2026-09-18T08:46:18Z,1.0,False
6,2026-09-18T08:46:24,2026-09-18T08:46:19-03:00,10,True,True,2026-09-18T08:45:58Z,21.0,False
